OrderID,CustomerID,ProductID,OrderDate,Quantity,Price,City
1,109,504,2023-05-29,2,24.49,Chicago
2,109,501,2023-05-13,4,23.03,Phoenix
3,106,504,2023-05-11,1,15.22,Miami
4,106,502,2023-06-25,5,10.62,Miami
5,109,504,2023-06-22,6,6.75,Atlanta
6,108,503,2023-07-11,7,13.01,Houston
7,108,504,2023-06-02,6,12.41,Phoenix
8,108,503,2023-06-15,7,10.1,Miami
9,110,502,2023-06-21,7,20.59,San Diego
10,108,504,2023-07-10,8,22.47,San Francisco
11,109,502,2023-07-25,2,18.51,Atlanta
12,102,501,2023-07-13,4,20.5,Miami
13,102,501,2023-07-20,7,8.57,Houston
14,109,504,2023-05-13,10,12.71,Atlanta
15,107,501,2023-06-30,10,20.45,San Diego
16,106,502,2023-08-01,7,11.24,Atlanta
17,101,503,2023-06-23,6,24.73,Chicago
18,106,504,2023-06-26,5,21.3,Miami
19,101,501,2023-05-27,1,18.89,Los Angeles
20,104,501,2023-08-08,3,8.08,Dallas
21,110,504,2023-05-30,8,16.53,Miami
22,109,501,2023-06-06,7,21.15,Houston
23,110,504,2023-05-25,3,15.28,Dallas
24,104,501,2023-05-27,10,11.16,New York
25,108,501,2023-07-12,9,5.02,Los Angeles
26,105,503,2023-07-23,6,20.8,New York
27,102,504,2023-05-07,10,22.57,San Francisco
28,107,504,2023-06-11,5,15.63,Dallas
29,110,502,2023-06-10,9,19.85,Houston
30,109,503,2023-05-10,1,18.18,Houston
31,104,504,2023-07-06,1,20.65,San Francisco
32,103,504,2023-06-09,4,12.99,Phoenix
33,108,502,2023-06-02,5,9.85,Houston
34,110,504,2023-06-09,1,7.01,Atlanta
35,102,503,2023-06-05,3,19.73,Dallas
36,102,502,2023-06-02,5,13.03,Los Angeles
37,104,502,2023-06-30,3,20.29,San Diego
38,110,503,2023-07-27,1,21.66,Miami
39,108,503,2023-07-05,9,7.64,Phoenix
40,103,504,2023-06-17,9,13.85,Miami
41,106,501,2023-05-07,6,9.45,Phoenix
42,105,504,2023-07-03,5,23.01,Houston
43,102,503,2023-08-04,8,11.23,New York
44,101,504,2023-06-01,7,5.61,Phoenix
45,101,503,2023-07-23,9,25.54,Atlanta
46,101,503,2023-06-12,10,19.02,New York
47,108,503,2023-07-29,7,16.89,Miami
48,101,503,2023-07-24,7,9.65,New York
49,106,504,2023-07-31,3,18.57,Phoenix
50,102,501,2023-07-10,10,11.94,Phoenix
51,106,503,2023-07-05,8,23.2,Atlanta
52,106,503,2023-06-09,3,18.84,San Francisco
53,110,501,2023-08-09,5,20.02,Phoenix
54,104,503,2023-06-15,6,16.89,Atlanta
55,108,504,2023-05-28,10,8.67,Los Angeles
56,109,501,2023-05-11,3,19.77,Los Angeles
57,109,503,2023-07-02,10,15.25,New York
58,102,501,2023-07-13,4,19.87,Phoenix
59,109,503,2023-07-10,1,23.5,Los Angeles
60,107,501,2023-08-07,6,18.46,Dallas
