OrderID,CustomerID,ProductID,OrderDate,Quantity,Price,City
1,101,504,2023-07-01,4,15.64,Miami
2,108,501,2023-06-26,10,22.51,Atlanta
3,107,504,2023-07-07,10,17.86,Los Angeles
4,104,502,2023-07-11,5,7.13,Chicago
5,106,504,2023-06-28,4,6.12,San Francisco
6,102,502,2023-07-10,5,5.15,San Francisco
7,106,503,2023-05-16,9,17.35,New York
8,105,503,2023-07-24,2,25.58,Phoenix
9,109,501,2023-05-30,2,5.46,Chicago
10,108,503,2023-06-16,5,6.2,Miami
11,107,503,2023-06-28,5,18.11,Houston
12,101,502,2023-06-18,2,11.45,Dallas
13,107,504,2023-06-27,5,6.88,New York
14,102,504,2023-05-27,10,12.38,Atlanta
15,106,501,2023-06-17,7,10.15,San Diego
16,104,501,2023-05-15,4,14.25,Miami
17,103,503,2023-07-11,6,22.44,Atlanta
18,105,504,2023-06-25,4,5.06,Chicago
19,109,503,2023-05-31,1,20.04,Los Angeles
20,110,502,2023-05-25,7,18.6,Dallas
21,105,502,2023-07-04,10,17.09,Los Angeles
22,105,504,2023-05-20,3,21.79,San Francisco
23,108,501,2023-07-19,8,22.47,Phoenix
24,107,501,2023-07-05,3,6.24,Chicago
25,106,501,2023-06-17,3,23.52,Chicago
26,107,504,2023-07-30,7,10.13,San Francisco
27,102,504,2023-05-31,1,9.68,San Diego
28,110,504,2023-06-11,3,17.1,Phoenix
29,103,502,2023-08-09,7,24.6,Phoenix
30,104,503,2023-05-03,8,5.22,Los Angeles
31,101,502,2023-05-30,6,17.07,Phoenix
32,109,501,2023-06-25,5,22.31,Los Angeles
33,102,502,2023-05-07,2,21.31,Atlanta
34,106,501,2023-06-05,10,24.09,Chicago
35,103,503,2023-06-11,1,11.48,Houston
36,109,503,2023-07-07,8,17.54,San Diego
37,101,502,2023-05-13,1,14.78,Phoenix
38,102,501,2023-06-29,4,24.3,Houston
39,106,502,2023-05-03,2,11.84,Dallas
40,110,503,2023-05-03,6,16.98,San Francisco
41,109,504,2023-06-07,5,11.32,New York
42,107,501,2023-07-05,4,10.32,Miami
43,104,501,2023-07-13,3,19.98,Miami
44,110,502,2023-07-01,4,7.68,Miami
45,108,504,2023-06-12,6,25.08,San Diego
46,103,504,2023-06-24,6,21.55,New York
47,102,501,2023-05-06,4,23.1,Miami
48,101,502,2023-06-05,9,13.72,Miami
49,108,503,2023-06-03,7,12.75,New York
50,104,502,2023-07-16,6,9.41,Houston
51,102,504,2023-06-18,3,5.01,Chicago
52,107,503,2023-06-12,4,14.53,New York
53,108,501,2023-05-27,9,5.84,Houston
54,106,501,2023-05-21,6,21.09,Houston
55,104,501,2023-06-25,4,18.95,Phoenix
56,107,501,2023-06-12,2,10.47,Phoenix
57,101,502,2023-06-26,7,22.92,Chicago
58,104,501,2023-06-27,5,8.13,Houston
59,102,502,2023-05-07,7,8.24,San Francisco
60,108,502,2023-05-10,9,25.09,Chicago
61,108,502,2023-06-21,6,15.46,New York
62,109,501,2023-05-12,8,9.28,Phoenix
63,102,502,2023-05-22,3,8.79,Houston
64,101,501,2023-07-04,1,6.72,Phoenix
65,108,504,2023-07-07,10,7.87,San Diego
66,102,504,2023-07-03,8,10.13,New York
67,107,504,2023-07-20,5,20.51,New York
68,103,502,2023-05-17,1,17.89,Atlanta
69,101,503,2023-07-02,7,16.19,Atlanta
70,109,503,2023-07-20,5,19.26,New York
71,102,501,2023-05-05,7,11.97,San Diego
72,104,504,2023-06-24,7,12.63,San Diego
73,101,503,2023-07-22,7,23.21,Dallas
74,106,502,2023-07-31,4,9.38,Houston
75,106,501,2023-05-25,3,25.39,New York
76,108,502,2023-07-09,3,13.14,Miami
77,107,503,2023-07-07,10,13.42,San Diego
78,108,503,2023-07-12,3,9.69,Chicago
79,102,503,2023-05-25,10,8.22,Dallas
80,108,501,2023-06-29,5,12.3,Phoenix
81,102,501,2023-05-22,8,7.05,Los Angeles
82,104,502,2023-07-24,5,21.24,San Diego
83,109,501,2023-05-18,5,25.77,Los Angeles
84,110,502,2023-05-13,4,12.85,Chicago
85,106,501,2023-05-29,1,17.39,Dallas
86,106,504,2023-07-13,10,12.78,Miami
87,103,502,2023-06-07,10,9.57,San Francisco
88,101,503,2023-05-06,10,19.95,New York
89,105,503,2023-06-16,1,19.9,Miami
90,108,503,2023-08-06,9,9.66,Houston
91,105,501,2023-05-26,2,8.63,Atlanta
92,109,501,2023-08-02,10,8.78,Miami
93,107,504,2023-05-08,8,13.36,Los Angeles
94,109,504,2023-07-24,9,16.45,Phoenix
95,102,501,2023-07-21,6,10.22,Houston
96,109,501,2023-06-04,8,19.08,Chicago
97,103,502,2023-07-18,9,11.86,San Francisco
98,103,503,2023-06-13,7,12.72,Houston
99,104,503,2023-06-25,8,11.48,Miami
100,108,504,2023-05-12,8,24.36,Chicago
101,106,503,2023-06-17,10,21.65,Chicago
102,107,503,2023-07-29,9,13.46,New York
103,109,504,2023-05-11,7,6.33,Miami
104,107,503,2023-07-18,3,22.33,Los Angeles
105,102,501,2023-08-04,1,5.96,San Diego
106,109,503,2023-06-02,3,6.86,San Francisco
107,105,503,2023-06-25,4,10.64,San Francisco
108,101,502,2023-06-21,10,24.44,Miami
109,102,504,2023-06-08,4,14.77,Miami
110,103,502,2023-06-28,4,12.54,Dallas
111,105,501,2023-05-08,3,7.41,New York
112,104,504,2023-05-06,3,23.71,Los Angeles
113,106,501,2023-07-02,4,19.23,Miami
114,104,502,2023-06-17,6,11.25,San Diego
115,102,501,2023-06-05,3,17.25,San Francisco
116,107,501,2023-06-27,3,8.39,Houston
117,101,504,2023-08-03,6,20.46,Miami
118,104,504,2023-08-08,1,23.79,Atlanta
119,105,502,2023-05-28,1,21.9,Atlanta
120,102,504,2023-07-03,1,6.42,Houston
121,105,502,2023-07-13,4,24.21,Phoenix
122,107,504,2023-05-18,1,13.32,Chicago
123,107,501,2023-07-14,9,20.01,San Francisco
124,107,502,2023-07-30,5,15.76,Miami
125,104,501,2023-07-12,10,17.52,Houston
126,104,504,2023-06-16,4,5.55,Miami
127,107,502,2023-07-18,7,25.1,Houston
128,110,501,2023-06-29,2,7.74,Phoenix
129,103,501,2023-07-25,10,13.9,Miami
130,106,504,2023-07-10,1,14.96,Dallas
131,109,503,2023-08-01,3,19.03,Atlanta
132,101,504,2023-07-08,4,21.73,Los Angeles
133,103,502,2023-07-24,10,13.09,Miami
134,102,504,2023-07-26,4,21.28,San Diego
135,101,501,2023-05-28,10,8.63,Miami
136,110,502,2023-06-01,5,13.77,New York
137,110,503,2023-06-29,4,19.69,Los Angeles
138,106,504,2023-05-30,7,20.24,San Diego
139,104,502,2023-05-01,1,14.67,Houston
140,103,503,2023-06-18,4,21.78,New York
141,103,501,2023-05-23,3,12.01,Los Angeles
142,110,502,2023-05-17,8,18.78,San Diego
143,110,504,2023-06-22,4,5.62,Houston
144,107,502,2023-05-15,7,24.64,Miami
145,103,502,2023-06-18,4,12.8,Houston
146,105,501,2023-07-15,7,20.86,Chicago
147,110,503,2023-06-07,8,8.53,New York
